id,player_name,team,total_points,points_per_game,now_cost,starts,points_per_start,pts/£,Fix 1-6 ,new_points,diff_vs_prev_year
249,João Pedro Junqueira de Jesus,Chelsea,126,4.7,7.5,23,5.478260869565218,16.8,1.0,121.0,-5.0
613,Tomáš Souček,West Ham,126,3.6,6.0,30,4.2,21.0,3.0,130.0,4.0
220,Robert Lynch Sánchez,Chelsea,126,3.9,5.0,32,3.9375,25.2,1.0,124.0,-2.0
19,Gabriel Martinelli Silva,Arsenal,125,3.8,7.0,25,5.0,17.857142857142858,1.0,131.0,6.0
178,Danny Welbeck,Brighton,125,4.2,6.5,24,5.208333333333333,19.23076923076923,1.0,128.0,3.0
402,Rayan Aït-Nouri,Man City,125,3.4,6.0,37,3.3783783783783785,20.833333333333332,1.0,128.0,3.0
485,Anthony Gordon,Newcastle,124,3.6,7.5,28,4.428571428571429,16.533333333333335,2.0,124.0,0.0
258,Tyrick Mitchell,Crystal Palace,123,3.3,5.0,37,3.324324324324324,24.6,3.0,131.0,8.0
386,Alexis Mac Allister,Liverpool,122,3.5,6.5,30,4.066666666666666,18.76923076923077,2.0,146.0,24.0
48,Youri Tielemans,Aston Villa,121,3.4,6.0,35,3.4571428571428573,20.166666666666668,3.0,146.0,25.0
251,Nicolas Jackson,Chelsea,121,4.0,6.5,28,4.321428571428571,18.615384615384617,1.0,119.0,-2.0
292,Vitalii Mykolenko,Everton,121,3.5,5.0,35,3.4571428571428573,24.2,1.0,133.0,12.0
18,Noni Madueke,Arsenal,120,3.8,7.0,27,4.444444444444445,17.142857142857142,1.0,117.0,-3.0
432,André Onana,Man Utd,120,3.5,5.0,34,3.5294117647058822,24.0,1.0,121.0,1.0
610,Aaron Wan-Bissaka,West Ham,118,3.3,4.5,35,3.3714285714285714,26.22222222222222,3.0,130.0,12.0
474,Fabian Schär,Newcastle,118,3.5,5.5,33,3.5757575757575757,21.454545454545453,2.0,131.0,13.0
5,Gabriel dos Santos Magalhães,Arsenal,117,4.2,6.0,28,4.178571428571429,19.5,1.0,123.0,6.0
583,Dejan Kulusevski,Spurs,117,3.7,6.5,27,4.333333333333333,18.0,1.0,117.0,0.0
